modality,webwork,webwork,webwork,webwork,webwork,webwork,webwork,gateway,gateway,gateway,gateway,gateway,gateway,gateway,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,exam,exam,exam,exam,exam,exam,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary
student18,0,0,1,1,0,1,1,1,1,1,0,1,1,1,,,0.0,,,,0.0,,1.0,,,,1,0,0,0,0,0,4,7,0.571,6,7,0.857,1.0,3,0.333,1,6,0.167
student19,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0.0,,,1.0,1.0,,,,,1.0,,0.0,1,1,0,0,1,0,2,7,0.286,2,7,0.286,3.0,5,0.6,3,6,0.5
student20,1,0,1,0,1,1,1,0,1,1,1,1,1,1,,,1.0,,,,1.0,,,0.0,,,0,1,1,1,1,1,5,7,0.714,6,7,0.857,2.0,3,0.667,5,6,0.833
student21,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,,1.0,,,1.0,,,,1.0,,,0,1,1,1,1,1,6,7,0.857,7,7,1.0,3.0,3,1.0,5,6,0.833
student22,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0.0,,,,,1.0,,,0.0,,,0.0,1,1,1,0,0,1,7,7,1.0,5,7,0.714,1.0,4,0.25,4,6,0.667
student23,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0.0,,,1.0,0.0,,,,1.0,,,0.0,1,1,1,0,0,1,5,7,0.714,6,7,0.857,2.0,5,0.4,4,6,0.667
student24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,,,,,1.0,,1.0,,,1.0,0.0,1,0,1,1,1,1,7,7,1.0,7,7,1.0,3.0,5,0.6,5,6,0.833
student25,1,1,1,1,0,1,1,0,1,1,1,1,1,1,,,1.0,,,1.0,,,,1.0,,,1,1,1,1,1,1,6,7,0.857,6,7,0.857,3.0,3,1.0,6,6,1.0
student26,0,0,0,1,1,0,1,0,0,0,1,1,1,1,,0.0,,,,1.0,,,,1.0,,,1,1,1,1,0,1,3,7,0.429,4,7,0.571,2.0,3,0.667,5,6,0.833
student27,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1.0,,,1.0,0.0,,,,,1.0,,0.0,1,1,1,0,0,1,4,7,0.571,2,7,0.286,3.0,5,0.6,4,6,0.667
student28,1,0,0,1,0,1,1,1,0,1,0,0,1,0,,,1.0,,,1.0,,,,0.0,,,1,0,0,1,1,0,4,7,0.571,3,7,0.429,2.0,3,0.667,3,6,0.5
student29,1,0,1,0,0,0,1,0,0,0,1,0,0,0,,0.0,,1.0,1.0,,,0.0,,,0.0,0.0,1,1,1,1,0,1,3,7,0.429,1,7,0.143,2.0,6,0.333,5,6,0.833
student30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.0,,,,,1.0,,,,1.0,,0.0,1,1,1,1,0,1,6,7,0.857,7,7,1.0,2.0,4,0.5,5,6,0.833
