modality,webwork,webwork,webwork,webwork,webwork,webwork,webwork,webwork,webwork,gateway,gateway,gateway,gateway,gateway,gateway,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,exam,exam,exam,exam,exam,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary
student15,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1.0,,,,,0.0,,0.0,,,0.0,0,0,0,0,0,2,9,0.222,3,6,0.5,1.0,4,0.25,0,5,0.0
student16,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,,,1.0,,,,0.0,,,1.0,,0,0,1,1,1,2,9,0.222,5,6,0.833,2.0,3,0.667,3,5,0.6
student17,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1.0,,,,,1.0,,,,1.0,1.0,1,1,1,1,0,8,9,0.889,6,6,1.0,4.0,4,1.0,4,5,0.8
student18,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,,,0.0,,,,0.0,,1.0,,,1,0,0,0,0,5,9,0.556,5,6,0.833,1.0,3,0.333,1,5,0.2
student19,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0.0,,,1.0,1.0,,,,,1.0,0.0,1,1,0,0,1,3,9,0.333,2,6,0.333,3.0,5,0.6,3,5,0.6
student20,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,,,1.0,,,,1.0,,,0.0,,0,1,1,1,1,5,9,0.556,5,6,0.833,2.0,3,0.667,4,5,0.8
student21,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1.0,,,1.0,,,,1.0,,0,1,1,1,1,8,9,0.889,6,6,1.0,3.0,3,1.0,4,5,0.8
student22,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,,,,,1.0,,,0.0,,0.0,1,1,1,0,0,8,9,0.889,4,6,0.667,1.0,4,0.25,3,5,0.6
student23,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0.0,,,1.0,0.0,,,,1.0,,0.0,1,1,1,0,0,5,9,0.556,5,6,0.833,2.0,5,0.4,3,5,0.6
student24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,,,,,1.0,,1.0,,,0.0,1,0,1,1,1,9,9,1.0,6,6,1.0,2.0,4,0.5,4,5,0.8
student25,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,,,1.0,,,1.0,,,,1.0,,1,1,1,1,1,8,9,0.889,5,6,0.833,3.0,3,1.0,5,5,1.0
student26,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,,0.0,,,,1.0,,,,1.0,,1,1,1,1,0,3,9,0.333,3,6,0.5,2.0,3,0.667,4,5,0.8
student27,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1.0,,,1.0,0.0,,,,,1.0,0.0,1,1,1,0,0,6,9,0.667,2,6,0.333,3.0,5,0.6,3,5,0.6
student28,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,,,1.0,,,1.0,,,,0.0,,1,0,0,1,1,5,9,0.556,3,6,0.5,2.0,3,0.667,3,5,0.6
student29,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,,0.0,,1.0,1.0,,,0.0,,,0.0,1,1,1,1,0,4,9,0.444,1,6,0.167,2.0,5,0.4,4,5,0.8
student30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.0,,,,,1.0,,,,1.0,0.0,1,1,1,1,0,8,9,0.889,6,6,1.0,2.0,4,0.5,4,5,0.8
